Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7933502,HIRING OF SERVICES FOR PROVISIONING OF 20 MM DIA PVC DRAIN PIPES FOR AC UNITS IN OFFICES AND OFFICER,HIRING OF SERVICES FOR PROVISIONING OF 20 MM DIA PVC DRAIN PIPES FOR AC UNITS IN OFFICES AND OFFICER'S ACCOMMODATION,Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,Unplsticized PVC Pipes for Water Supply conforming to IS 4985,Weak — review,51%
GEM/2026/B/7933531,HIRING OF SERVICES FOR REFURBISHMENT OF ENTRY FOYER AND DOORS,HIRING OF SERVICES FOR REFURBISHMENT OF ENTRY FOYER AND DOORS,Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,Access Door Assembly (BHEL),Weak — review,41%
GEM/2026/B/7933530,ANTI-RODENT TREATMENT OF CUPBOARDS AT RECORD ROOM,ANTI-RODENT TREATMENT OF CUPBOARDS AT RECORD ROOM,Pest and Animal Control Service,AutomationTestCategory_DoNotUse,Mice and Rat Restrainers,Weak — review,51%
GEM/2026/B/7933529,HIRING OF SERVICES FOR WEATHER PROTECTION COATING ON WALLS,HIRING OF SERVICES FOR WEATHER PROTECTION COATING ON WALLS,"Hiring of Consultant for Energy Efficiency Services, Manpower Hiring for Financial Services, Hiring of AR VR Services for Events",AutomationTestCategory_DoNotUse,Coat Extreme Cold Climate Improved Version (Defence),Weak — review,44%
GEM/2026/B/7933527,COMPREHENSIVE REFURBISHMENT OF READING AREA FOR TRAINEES,COMPREHENSIVE REFURBISHMENT OF READING AREA FOR TRAINEES,Pest and Animal Control Service,AutomationTestCategory_DoNotUse,Book Scanners (V2),Weak — review,42%
GEM/2026/B/7913877,"12OD 2T BRIGHT ANLED SS316L SMLS ST PRECISION TUBE AS PER EN10216-5(CLASS) , 16OD 2T BRIGHT ANLED SS316L SMLS ST PRECISION TUBE AS PER EN10216- 5(CLASS) , 18 OD 3.0T BRIGHT ANLED SS316L SMLS ST PRECISION TUBE AS PER EN 10216-5 (CLASS)",18 OD 3.0T BRIGHT ANLED SS316L SMLS ST PRECISION TUBE AS PER EN 10216-5 (CLASS),Category not available on GeM for the text string uploaded by the buyer,"Steel Tubes, Tubulars and Other Steel Fittings as per IS 1239 (Part 2 - Steel Pipe Fittings)",Brass Tube 18A-OFB,Weak — review,45%
GEM/2026/B/7880504,"PROCUREMENT OF LID , PROCUREMENT OF SEAL HOUSING",SEAL HOUSING,"BEARING ISOLATOR, Books (V2), Housing(OFB-DEFENCE), Freight Containers - High Security Cable Seal as per IS 17381:2021, Puf Seal, Spiral Wound Metallic Gasket, Containerized Housing Office Unit, Plastic Grip Seal, Polytetrafluoroethylene (PTFE) Thread Sealing Tape, Bolt Bullet Seal",BEARING ISOLATOR,parat and lid as per cqa specification,Weak — review,50%
GEM/2026/B/7852906,windows 11 pro 25 h2,windows 11 pro 25 h2,"Propiconazole 25% EC, Fixed Computer Workstation, Distribution Transformer, 3 Phase, 11 kV, >200 KVA upto and Including 2500 KVA ISI Marked To IS 1180 (Part 1), APCO 25 Phase-II Radio Trunking as per MHA QR, XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1), Low Voltage Surge Protective Devices Connected to Low Voltage Power Systems Conforming To IS 16463 (Part 11), PVC Insulated Unsheathed Cable with Flexible Conductor ISI Marked To IS 694, Diuron 25.6% + Glyphosate 14.9% + Oxyfluorfen 11.5% SC (Suspension Concentrate), PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, Fenobucarb 22.5% + Buprofezin 11.25% + Acephate 2.5% ME (Microemulsion)",Accessibility Software,Tablet Computer (V2),Weak — review,38%
GEM/2026/B/7933245,BCF HOSE REAR,BCF HOSE REAR,"Pectoral Fly Rear Deltoid (Version 2), Fire Hose Cabinet, Coolant Hose, Hydraulic Hose, Teflon hose, Cryogenic Flexible Hose, Rubber Steam Hose (V2) as per IS 10655, Flexible Drain Hoses for Wash Basins Sinks, Hose Cabinet - BHEL, Neoprene hose(BHEL)",Fire Hose Cabinet,Hose Cabinet - BHEL,Weak — review,63%
GEM/2026/B/7925443,"Supply and Stacking of Coarse Sand , Supply and Stacking of Stone Aggregate 40 mm",Supply and Stacking of Stone Aggregate 40 mm,"Galvanized Steel Chain Link Fence Fabric (V2) conforming to IS 2721, Coarse Aggregate (V2) Conforming to IS 383, Fine Aggregate (V2) Conforming to IS 383",Coarse Aggregate (V2) Conforming to IS 383 Fine Aggregate (V2) Conforming to IS 383,Coarse Aggregate (V2) Conforming to IS 383,Weak — review,55%
GEM/2026/B/7933476,"GRASS MAT ROLL (6 FT WIDTH X 35MM) , mobile deposit box",mobile deposit box,"Safe Deposit Locker Cabinets conforming to IS 5244 (V2), Muffle Box Furnace (V2), Safes (V3) ISI Marked to IS 550, Deposit Safe (Non Tool Resistant), Mobile Storage Compactors, Mobile Robots, Resistance Box, File Folder (V3), Box Spanner, Analog Transceiver - Mobile",Safe Deposit Locker Cabinets conforming to IS 5244 (V2),Handcrafted Floor Mats,Weak — review,47%
GEM/2026/B/7933473,INTERPHONE STATION 20 WAY,INTERPHONE STATION 20 WAY,"Digital UHF Base Mobile Radio Sets as per MHA QR (V2), Single Use Sterile Hypodermic Syringes for Human Use Conforming to IS 10258 (Part 1), Digital Hand-held VHF Transceiver as per MHA QR, Two Way Valve, Trackside Indicator Boards and Signages as per IRICEN Manual, Rack Type Charging Station For Tablet Mobile Phone, Stationary Storage Type Electric Water Heaters (Geyser) (V3) ISI Marked to IS 2082, Metal Oxide Surge Arresters Without Gaps For A.C. Systems (V2) Conforming to IS 15086 (Part 4)",Central Monitoring Station,IP/PSTN Conference Phone,Weak — review,49%
GEM/2026/B/7815891,"Varnish Removal unit , Filter Inserts for VRU",Filter Inserts for VRU,"Filter cum Pressure Regulater, Oil filter assembly for wheel loader, C Band Pass Filter for POLNET Terminal (CRPF), Cartridge Filter for Lean Amine Filtration (MRPL), Gravel for use as filter pack conforming to IS 4097, Fume extraction unit for filteration of soldering fumes, Electric Centrifugal Juicers marked to IS 4250 (BIS Scheme - I), Vehicle Mounted Air Filter",Varnishes or Shellac Varnish as per IS 347,Varnishes or Shellac Varnish as per IS 347,Weak — review,46%
GEM/2026/B/7932787,PROCUREMENT OF SAILOR SART 9 GHZ SEARCH AND RESCUE TRANSPONDER,PROCUREMENT OF SAILOR SART 9 GHZ SEARCH AND RESCUE TRANSPONDER,Category not available on GeM for the text string uploaded by the buyer,Victim Location Equipment and Breaching System (Mobile Medical Services Search and Rescue Kits),Very high frequency marine transceiver,Weak — review,51%
GEM/2026/B/7932716,TEMPERATURE SENSOR,TEMPERATURE SENSOR,"Temperature sensor, Temperature & Humidity Sensor, Occupancy sensor, Muffle Box Furnace (V2), Photoelectric Sensor, Temperature controlled soldering station, Force Sensor, Low temperature Gloves, LVDT Sensor, Temperature humidity controller",Temperature sensor,Temperature sensor,Strong match,100.0 / 100
GEM/2026/B/7736230,Reactivity Control Mechanisms and its Associated Systems as per attached Technical Specification,"Preparation of Drawings, Manufacturing, Assembly, Packing & Supply of Reactivity Control Mechanisms",Category not available on GeM for the text string uploaded by the buyer,BEARING ISOLATOR Pinion gears Wheel Worm,Temperature Controller,Weak — review,36%
GEM/2026/B/7723951,"worm & worm wheel shaft as per following details: - Make: - M s Shanthi Gears Limited Type: - NS AV 200 , set of bearings (1 set consists of 04 bearings) as per following details: - Make: - M s Shanthi Gears , Set of Oil Seals (1 set consists of 04 oil seals) as per following details: - Make: - M s Shanthi Gear",Set of Oil Seals (1 set consists of 04 oil seals) as per following details:- Make:- M s Shanthi Gears Type:- NS AV 200 - 25:1,Category not available on GeM for the text string uploaded by the buyer,Wheel Worm,Wheel Worm,Weak — review,62%
GEM/2026/B/7768288,POLE SCAN FERROMAGNETIC DETECTOR,POLE SCAN FERROMAGNETIC DETECTOR,"Hand Held Metal Detector as per MHA QR, CT Scan Machine",Hand Held Metal Detector as per MHA QR,Ferrous debris monitor,Weak — review,48%
GEM/2026/B/7780890,NIGHT VISION DEVICE,NIGHT VISION DEVICE (HAND HELD FUSION BINOCULAR),"Passive Night Vision Binocular as per MHA QR (V2), Hand Held Search Light, hand held gps, Band Saw Machine, Digital Monitoring Receiver (Hand-held) as per MHA QR, Digital Hand-held VHF Transceiver as per MHA QR, Handheld Terminal (V2)",Passive Night Vision Binocular as per MHA QR (V2),Passive Night Vision Monocular as per MHA QR (V2),Weak — review,64%
GEM/2026/B/7933382,DEEP CLEANING OF ROOMS (COMPLETE SERVICES - LUMP SUM),DEEP CLEANING OF ROOMS (COMPLETE SERVICES - LUMP SUM),Facility Management Services - LumpSum Based,AutomationTestCategory_DoNotUse,Premoulded Sanitation Superstructure,Weak — review,48%
GEM/2026/B/7933353,High Ridge Sheet 18.5 x 3.5 Feet,EME SP Items,"Acephate 50%+ Imidacloprid 1.8% Soluble Powder (SP), Computer Table (V3), Handicraft Items from Kutch - ODOP, Bernoulli'S Theorem Apparatus, Divyangjan-Curios, Souvenirs And Gift Items, Revolving Chair (V5), Cartap Hydrochloride 50% Soluble Powder (Sp) Conforming To Is 14183, Industrial Oven, Fingerprint Powders, Marking Cones",M S Sheet as per IS 1079 (Unit - Mass),Decorative Laminate Sheet,Weak — review,51%
GEM/2026/B/7933422,UPGRADATION OF EXISTING VISITOR MANAGEMENT SAFTWARE AND INSTALLATION OF ADDITIONAL WORKSTATION WITH,UPGRADATION OF EXISTING VISITOR MANAGEMENT SAFTWARE AND INSTALLATION OF ADDITIONAL WORKSTATION WITH LICENSE (EXTENSION) AT INS HAMLA,Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,Fixed Computer Workstation,Weak — review,43%
GEM/2026/B/7933415,"FABRICATION, INSTALLATION TESTING AND COMMISSIONING OF 6 X 4 FEET MULTIDIMENSIONAL LED ROAD SAFETY I","FABRICATION, INSTALLATION TESTING AND COMMISSIONING OF 6 X 4 FEET MULTIDIMENSIONAL LED ROAD SAFETY INFORMATION BOARDS INCLUDING 01 TEAR COMPREHENSIVE WARRANTY",Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5/Section 3) (V3) (Under BIS Scheme - II),Weak — review,53%
GEM/2026/B/7933451,"PYROMETER, INDICATING","PYROMETER, INDICATING","Indicating Instruments - Ammeter & Voltmeter (BHEL), Silica Gel (V2) Conforming to IS 3401, Dial type indicating Pressure Gauges, LED Based Indicating Lamp for Panel Cut Outs, Dial Type Indicating Vacuum Gauges and Compound Gauges as per IS 3624, Pressure and Vacuum Gauges as per IS:3624, Chemical Indicator for Steam Sterilization Process, Dial test indicator, Water Level Indicator (Hydrological), Digital Temperature Indicator",Dial type indicating Pressure Gauges,Pyranometer,Weak — review,61%
GEM/2026/B/7933425,"Potato Fresh , onion fresh",Onion Fresh,"Onion Potato Bin, Onion Seed (V2), Onion from Shajapur - ODOP, Ceramic ( Vitreous China ) Flushing Cisterns for Water Closets and Urinals conforming to IS 774, Onion Dehydrated (V4) (Defence), Chips, Naphthalene (V3) Conforming to IS 539, Hair Oil (V3) Conforming to IS 7123, Air Freshener Solid or Gel (V2), Air Freshener liquid (V3)",Onion Seed (V2),Onion / Potato Bin,Weak — review,64%
GEM/2026/B/7933446,"SUPPLY, INSTALLATION, CONFIGURATION AND COMMISSIONING OF SECURITY PASSES MANAGEMENT SYSTEM INCLUDING","SUPPLY, INSTALLATION, CONFIGURATION AND COMMISSIONING OF SECURITY PASSES MANAGEMENT SYSTEM INCLUDING INTEGRATION WITH EXISTING VISITOR MANAGEMENT SYSTEM AT SECURITY OFFICE, INS HAMLA",Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,General Purpose Hardware Security Module (HSM),Weak — review,46%
GEM/2026/B/7933443,"PROCUREMENT, INSTALLATION, TESTING, COMMISSIONING AND BIOMETRIC AND FACE SETECTION ENABLED 26 VEHICL","PROCUREMENT, INSTALLATION, TESTING, COMMISSIONING AND BIOMETRIC AND FACE SETECTION ENABLED 26 VEHICLE KEY CONTROLLING SMART BOARD FOR MT CONTROL CELL WITH ONE YEAR WARRANTY",Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,Under Vehicle Scanning System (UVSS) With Image And Automated License Plate Recognition System as per MHA QR (V2),Weak — review,46%
GEM/2026/B/7922870,16 PORT MANAGEABLE SWTICH,16 Port Manageable Switch,"KVM Switches (V2), Non Modular Piano Type Domestic Electrical Switches ISI Marked To IS 3854, SAN Switch, Director-Class Storage Area Network (SAN) Switch, HDMI Switcher, Unmanaged L2 Ethernet Switch (Non-PoE), Secondary Sealed Cells and Batteries For Portable Application - Nickel Metal Hydride Conforming To IS 16048 (Part 2), Modular Piano Type Domestic Electrical Switches ISI Marked To IS 3854, Secondary Sealed Cells and Batteries For Portable Application - Nickel Cadmium Conforming To IS 16048 (Part 1), Secondary Lithium Cells and Batteries For Portable Application Conforming To IS 16047 (Part 3)",SAN Switch,Secure Web Gateway (SWG) Solution,Weak — review,37%
GEM/2026/B/7933465,PORTABLE JUMP STARTER AND POWER BANK,Portable Jump Starter and power bank,"Power Bank for Mobile and Laptops (V2), Portable Emergency LED Lighting Tower System with Battery Bank",burette stand,Power Bank for Mobile and Laptops (V2),Weak — review,55%
GEM/2026/B/7933464,"SUPPLY, INSTALLATION TESTING AND COMMISSIONINF OF 26-KEY INTELLIGENT ELCTRONIC WITH ELECTRONIC KEY C","SUPPLY, INSTALLATION TESTING AND COMMISSIONINF OF 26-KEY INTELLIGENT ELCTRONIC WITH ELECTRONIC KEY CABINET, EMBEDDED CONTROLLER TOUCH SCREEN, RFID KEY TAGS (26NOS) .ELCTRONIC LOCKING MECANISM, KEY MANAGEMENT SOFTWARE , ACCESSORIES, INSTALLATION, CONFIGURA",Category not available on GeM for the text string uploaded by the buyer,AutomationTestCategory_DoNotUse,Electronics & Hardware Kit,Weak — review,42%
GEM/2026/B/7928969,SOCKET SPANNER-8.0,SOCKET SPANNER-8.0,"Box Spanner, Muffle Box Furnace (V2), Benalaxyl 8.0 % + Mancozeb 65% WP (Wettable Powder), Steel Tubes used for Water Wells (V2) as per IS 4270, Impact socket, Electronic Weighing Scales, Insulated socket, Equipment Camouflage Nets (Jute) as per Defence Specification, IC SOCKET, water baths",Insulated socket,Impact Socket (V2),Weak — review,54%
GEM/2026/B/7929169,SCDR ERGO ENGR-1.2x6.5x150,SCDR ERGO ENGR-1.2x6.5x150,"Laser Engraving Machine, Writing slates or Wooden Engraving Slate, Methylergometrine Injection, Laser marking machine, Ergonomically Designed Backpack 70 L, Ergonomically Designed Backpack (DIPAS, DRDO), Ergonomically Designed Flexible Water Bottle (DRDO), Revolving Chair (V5), Computer Mouse, Ergonomically designed combat boots (Version 1) - DRDO",Torque Controlled Screwdriver,Light Diesel Oil-IS:15770,Weak — review,39%
GEM/2026/B/7928311,"REAR VIEW MIRROR FOR TATA YODHA , REAR VIEW MIRROR FOR TATA XENON , SIDE VIEW MIRROR FOR TATA XENON",SIDE VIEW MIRROR FOR TATA XENON,Category not available on GeM for the text string uploaded by the buyer,Inverted Mirror Trolley Mounted Under Vehicle Search Mirror Convex Security Mirrors (V2),Inverted Mirror Trolley Mounted Under Vehicle Search Mirror Convex Security Mirrors (V2),Weak — review,50%
GEM/2026/B/7930288,Tyre Puncher Machine,TYRE PUNCHER MACHINE,"Spares Tyre for Tyre Coupling (V2), Sanitary Napkins Incinerator Machine with Smoke Control Unit, Nitrogen Tyre Inflators, Tyre Killer (MHA), Sanitary Napkins Vending Machines, Tyre Air Pressure Gauge, Solid Cushion Tyres (V3), Electronic Tyre Inflator Kit For Educational Purpose, Scrubber Dryer Floor Cleaning Machine (V2), Spike Barrier (V2)",Solid Cushion Tyres (V2),Paper Punch Machine(V2),Weak — review,57%
GEM/2026/B/7753180,Bullet Velocity Measuring equipment,Bullet Velocity Measuring equipment,"Sounding and Suspension Equipment as per IS 6064, Ultrasonic pulse velocity tester, Engineering Metrology- Measuring Equipment - Cast Iron Surface Plates - IS 2285, Live Remote Temperature and Humidity Monitoring and Alert System, Resistance Monitoring Device",Ultrasonic pulse velocity tester Sounding and Suspension Equipment as per IS 6064,Laser Speed Meter (V2),Weak — review,56%
GEM/2026/B/7709817,video spectral comparator,video spectral comparator,"DATABASE COMPARATOR SOFTWARE, FORENSIC MOBILE MULTI SPECTRAL IMAGING SYSTEM, Video Extensometer, Video Recorder for CCTV System (V2), Video Laryngoscope (V2), Video Conferencing Camera Web Camera (V2), Profile Projector (Version 2), Video Conferencing End Point, Audio Video Switcher Device, Cloud Video Conferencing Software",DATABASE COMPARATOR SOFTWARE Video Laryngoscope,Video Extensometer,Weak — review,61%
GEM/2026/B/7928722,DEWATERING PUMP,DEWATERING PUMP,"Dewatering Pump(Ntpc)-IS:11501, Styling Chair Salon Chair Swiveling Barber Chair, Engine Monoset Pumps for Clear, Cold, Water (Dewatering Pump) Conforming To IS 11501, Engine Driven Floating Centrifugal Pump (Hydraulic Pump), Submersible Pumpsets (Three Phase) Conforming To IS 8034 (V2), Dewatering Polyelectrolyte (DWPE) (GAIL), Submersible Sewerage Pump, Self Priming Pump Conforming To IS 5120, Descaling Pump, Vacuum Pump",Dewatering Pump(Ntpc)-IS:11501,Dewatering Pump(Ntpc)-IS:11501,Weak — review,67%
GEM/2026/B/7896285,COMPREHENSIVE ANNUAL MAINTENANCE CONTRACT FOR EXTERNAL CCTV SYSTEM AT NTS (SVP),COMPREHENSIVE ANNUAL MAINTENANCE CONTRACT FOR EXTERNAL CCTV SYSTEM AT NTS (SVP),"Customized AMC CMC for Pre-owned Products, ANNUAL MAINTENANCE SERVICE FOR Centralised air conditioning system",Camera for CCTV System (V3),Camera for CCTV System (V3),Weak — review,55%
GEM/2026/B/7794503,"Interactive Panels with CPU , Electronic Lectern System , PRINTING DEVICE , PRINTING MACHINE",PRINTING MACHINE,"Flex Printing Machine, Ammonia Printing Machine, Four Colour Web Offset Printing Machine, Laboratory Rotary cum Flat Bed Printing Machine, Ferrule Printer, Sanitary Napkins Vending Machines, Offset Printing Ink, Rubber Blanket, Rubber Sucker for Printing, Sanitary Napkins Incinerator Machine with Smoke Control Unit",Offset Printing Ink Rubber Sucker for Printing,Interactive Panels with CPU,Likely match,69%
GEM/2026/B/7868783,"Fire 4000 Weapon scope mount Ballastic Laser Range Finder with BDX (Made in USA) , Scope Diving Board for Fire 4000 LRF",Scope Diving Board for Fire 4000 LRF,"LED Diving Torch Light (Diving Instruments or Accessories), Trailer Pump for Fire Brigade use as per IS 944",Ballasts For Discharge Lamps Conforming To IS 15882,Hand Held Laser Range Finder (HHLRF) As per MHA QR,Weak — review,54%
GEM/2026/B/7807641,LASER MARKING MACHINE,LASER MARKING MACHINE,"Laser marking machine, Electro Etcher Marking machine, Laser cutting machine, Sanitary Napkins Vending Machines, Laser Engraving Machine, CO2 Fractional Laser Machine (V2), Sanitary Napkins Incinerator Machine with Smoke Control Unit, Marking Cones, Roti Making Machine, Holmium Laser",Laser marking machine,Laser marking machine,Strong match,100.0 / 100
GEM/2026/B/7900584,CFF Jump Suit,CFF JUMP SUIT,"Swimming suit (Neoprene Suit), Rain Suit, Standard obstacle Clear Jump, Spring Jump board-Gymnastic, Tracksuit (V2), High Jump Landing Mat, Scrub Suit, Track Suits (IAF), Suit (Winter) (IAF), Ghillie Suit (MHA)",Tracksuit Dungarees,Track Suits (IAF),Weak — review,56%
GEM/2026/B/7807629,"Freestanding PM Fiber Optic Sensor Coil 5KM , Freestanding PM Fiber Optic Sensor Coil 3 KM",Freestanding PM Fiber Optic Sensor Coil 3 KM,Category not available on GeM for the text string uploaded by the buyer,Optical Fibre Splicing Machine (V2) as per TEC 88090:2012 Fiber Optic Patch Cord Fiber optic tool kit,Fiber optic tool kit,Weak — review,48%
GEM/2026/B/7866996,4100401698 RENISHAW MP250 PROBE KIT SUITABLE FOR JUGNER 560 CNC MACHINE. KIT INCLUDES- PROBE AND STY,"RENISHAW MP250 PROBE KIT SUITABLE FOR JUGNER 560 CNC MACHINE. KIT INCLUDES- PROBE AND STYLUS, PROBE CODE-A-5500-1600-1 NOS, STYLUS CODE- A-5000-7547- 1 NOS",Category not available on GeM for the text string uploaded by the buyer,CNC Simulator,Special Tools (Deepwell Hand Pumps Components) as per IS 15500,Weak — review,44%
GEM/2026/B/7868631,FPV Drone Make in India,FPV Drone Make in India,"Khaki Uniform Cloth Material (NLC India), Industrial composite color 3D Printer, Truck mounted Fog Cannon system (Coal India), Trampoline (Sports Authority of India), Steel Tubes, Tubulars ISI marked to IS 1239 (part-1)V2, Female Uniform Cloth Material (NLC India), Male Uniform Cloth Material (NLC India), Roti Making Machine, White Uniform Cloth Material (NLC India), Coagulation Analyzer Reagents for Human Samples","Surveillance Drone Unmanned Aerial Vehicle (V2) (Defence Forces - Navy, Army and Air Force)",Surveillance Drone / Unmanned Aerial Vehicle (V2),Weak — review,48%
GEM/2026/B/7548175,Load cell based closed loop digital brinell hardness tester,Load cell based closed loop digital brinell hardness tester,Category not available on GeM for the text string uploaded by the buyer,Digital Micro Vickers Hardness Tester,Digital Micro Vickers Hardness Tester,Weak — review,71%
GEM/2026/B/7771032,Heavy duty billet storage stands as per drawing,heavy duty billet storage stands as per drawing,"Heavy Duty Pipe Wrench as per IS 4003, Lathe Machine as per IS 6893:1988, PVC Insulated (Heavy Duty) Electric Cables Marked To IS 1554 (Part 1) (V2), Adjustable Single Ended Open Jaw Wrench as per IS 6131, Milling Machine as per IS 6893, IS 8614, IS 9474, Antiwear Hydraulic Oil, Extra Heavy Duty Type (V3) Conforming to IS 11656",Mobile Storage Compactors,Heavy Duty Storage Racks,Weak — review,54%
GEM/2026/B/7891034,40 Watt Solid State Power Amplifier,Solid State Power Amplifier,"Solid State Potentiometer, Internal Storage Device (SSD HDD) (V2), Audio Amplifier (V3), Solid State Inverters Run from Storage Battery (V2) Conforming to IS 13314, Audio Amplifier (V3) (under BIS Scheme - II), USB Type External Solid State Drive Capacity Greater Than 256 GB (V2), USB Type External Solid State Drive Capacity Up To And Including 256 GB (V2), HDMI Splitter",high performance power supplies,Solid State Potentiometer,Weak — review,40%
GEM/2026/B/7893106,"PROCUREMENT OF SPARES FOR WATERJET CNC MACHINE, MAKE-OMAX, MODEL NO. 80160 PLANT NO 4922","PROCUREMENT OF SPARES FOR WATERJET CNC MACHINE, MAKE-OMAX, MODEL NO. 80160 PLANT NO 4922",Category not available on GeM for the text string uploaded by the buyer,OEM Spares for Automobiles,Paper Cup (Dona) cum Paper Disc Machine Kit (GRIMCO Gujarat Govt),Weak — review,47%
GEM/2026/B/7829657,Fibreoptic bronchoscope,Fibreoptic bronchoscope,"Rigid Bronchoscope, Flexible Video Bronchoscope (V2), Flexible Fiber Optic Bronchoscope (V2), Portable Video Bronchoscopy System",Flexible Video Bronchoscope (V2),Rigid Bronchoscope,Possible match,81%
GEM/2026/B/7893146,"Identification of faulty modules components, supply & installation of new components for restorati , Two years comprehensive annual maintenance of Fire Alarm System at AERDC Division, Bangalore as per","Two years comprehensive annual maintenance of Fire Alarm System at AERDC Division, Bangalore as per AERDC AMC TBM-TSP 0007 2026 Cost of providing Quarterly maintenance of Fire Alarm System at AERDC Division, Bangalore as per AERDC AMC TBM-TSP 0007 2026",Category not available on GeM for the text string uploaded by the buyer,Portable Fire Extinguishers (V3) ISI Marked to IS 15683,PLC based fire alarm system,Weak — review,48%
GEM/2026/B/7886106,Robotic Arthoplasty Set for the department of Orthopedics,Robotic Arthoplasty Set,"Surgical Robotic Systems, Sofa (V3), Robotic or automated liquid handling systems, Dystocia Set, Desk and Bench Set for Classroom Training Area, Blood Administration Set (V2), Advanced Robotics, Dinner Set (V2), Gravity Feed Infusion Sets (Single Use) Conforming to IS ISO 8536-4, Tea Set (V2)",Surgical Robotic Systems,Surgical Robotic Systems,Weak — review,55%
GEM/2026/B/7863751,Online UPS 10 KVA,Online UPS 10 KVA,"Online UPS (>10 KVA) With Battery, Online UPS (≤10 KVA) With Battery Conforming To IS 16242 (Part 1), Online UPS (>10 KVA) Without Battery, Line Interactive UPS with AVR (V2), Online UPS (≤10 KVA) Without Battery Conforming To IS 16242 (Part 1), Online Ups Modular Type, Distribution Transformer, 1 Phase, Up to and including 100 kVA ISI marked to IS 1180 (Part 1), Copper Alloy Gate Valve For Waterworks Purpose (V2) Conforming to IS 778, Inverter (V2), Distribution Transformer, 3 Phase, 11 kV, >200 KVA upto and Including 2500 KVA ISI Marked To IS 1180 (Part 1)",Online UPS (>10 KVA) With Battery Online UPS (≤10 KVA) With Battery Conforming To IS 16242 (Part 1),Online UPS (>10 KVA) With Battery,Likely match,78%
GEM/2026/B/7774649,3D MAP (12 FT x 8 FT),3D MAP (12FTx8FT),"Maps, High End Desktop Computer, 3D Surface and contour mapping Software, 3D Laser Scanning and Imaging System as per MHA QRs, Entry and Mid Level Desktop Computer, 3D Laser Scanner, 3D Coordinate Measuring Machine, Interactive Panels with CPU, Multilayer Aseptic Pack Milk (MAP Milk) (Defence), Industrial composite color 3D Printer",Outline Map,Maps,Weak — review,53%
GEM/2026/B/7659959,Integrated Anti Drone Surveillance and Response Equipment,Integrated Anti Drone Surveillance and Response Equipment,"Surveillance Drone Unmanned Aerial Vehicle (V2), Surveillance Drone Unmanned Aerial Vehicle (V2) (Defence Forces - Navy, Army and Air Force), Drone or Unmanned Aerial Vehicle with Customized Payload (Defence Forces - Navy, Army and Air Force), Surveying or Mapping Drone or Unmanned Aerial Vehicle (Defence Forces - Navy, Army and Air Force)",AutomationTestCategory_DoNotUse,Surveillance Drone / Unmanned Aerial Vehicle (V2),Weak — review,69%
GEM/2026/B/7890891,KFPS. 6100 PRE FILTER KF MS-6100 MIDLE AND KFH01-02 MON HEPA FILTER FOR SOLDER FUME EXTRACTION SYSTEM,KFPS.6100. PRE FILTER KF MS-6100 MIDLE AND KFH 01-02 MON HE PA FILTER FOR SOLDER FUME EXTRACTION SYSTEM ( IN SET OF THREE FILTERS,Category not available on GeM for the text string uploaded by the buyer,Air Pre Filter,Fume extraction unit for filteration of soldering fumes,Weak — review,69%
GEM/2026/B/7853463,ANALOGUE DRUG DISCOVERY PLATFORM,Analogue Drug Discovery Platform,Category not available on GeM for the text string uploaded by the buyer,Drug Delivery System,Analog-Digital Circuits Development Platform,Weak — review,50%
GEM/2026/B/7893206,SOLDER FUME EXTRACTION SYSTEM (GOOSE NECK TYPE) WITH EXTRA THREE FILTERS (ONE NO. OF EACH TYPE),SOLDER FUME EXTRACTION SYSTEM (GOOSE NECK TYPE) WITH EXTRA THREE FILTERS (ONE NO. OF EACH TYPE),Category not available on GeM for the text string uploaded by the buyer,Welding Fume Extraction System,Fume extraction unit for filteration of soldering fumes,Weak — review,74%
GEM/2026/B/7690291,Aircrew Thigh Pad (Fly boy company),Aircrew Thigh Pad (Flyboy),Sports Thigh Pads,Sports Thigh Pads,Sports Thigh Pads,Weak — review,65%
