concept,category_hint,terms
Document Scanner,scanner document imaging,scanner;scanners;document scanner;flatbed scanner;sheet fed scanner;adf scanner;duplex scanner;portable scanner;handheld scanner;photo scanner;a4 scanner;a3 scanner;high speed scanner;network scanner;wifi scanner;book scanner;passport scanner;id scanner;barcode scanner;qr scanner;image scanner;scanning machine;scan machine;scaner;scannner;skanner;document imaging;paper scanner;colour scanner;color scanner;office scanner;desktop scanner;digital scanner;fingerprint scanner;cheque scanner;batch scanner;professional scanner;compact scanner;scanning device;document capture;large format scanner;wide format scanner;usb scanner;flat bed scanner;scan device;scanner cum copier;roller scanner;feed scanner;office document scanner;invoice scanner;form scanner;microfilm scanner;slide scanner;film scanner;3d scanner
Tablet / iPad,tablet ipad computing,tablet;tablets;ipad;ipads;tab;tabs;tablet pc;android tablet;windows tablet;ios tablet;graphic tablet;drawing tablet;writing tablet;digital tablet;kids tablet;education tablet;learning tablet;e reader;ebook reader;kindle;tablet computer;10 inch tablet;8 inch tablet;7 inch tablet;wifi tablet;4g tablet;5g tablet;calling tablet;sim tablet;tablet device;touch tablet;tablet with keyboard;detachable tablet;convertible tablet;tablat;taiblet;taibet;tablet gadget;portable tablet;student tablet;office tablet;signature pad;note tablet;smart tablet;budget tablet;premium tablet;rugged tablet;medical tablet device;tablet screen;big tablet;mini tablet;large tablet;phablet;handheld tablet;touchscreen tablet;reading tablet
Headphone / Earphone,headphone earphone headset audio,headphone;headphones;earphone;earphones;headset;headsets;earbud;earbuds;ear phone;head phone;wireless headphone;bluetooth headphone;wired headphone;over ear headphone;on ear headphone;in ear earphone;neckband;neckband earphone;tws;true wireless earbuds;gaming headset;call center headset;office headset;usb headset;noise cancelling headphone;anc headphone;sports earphone;mic headphone;headphone with mic;headset with mic;hedphone;earfone;hedset;audio headset;music headphone;earpiece;ear piece;single ear headset;dual ear headset;conference headset;transcription headset;wireless earbuds;bluetooth earphone;wired earphone;handsfree;hands free;handsfree earphone;call headset;gaming earphone;studio headphone;dj headphone;kids headphone;foldable headphone;portable headphone
Power Bank,power bank portable charger battery,power bank;powerbank;power banks;portable charger;mobile charger bank;battery bank;portable power bank;10000 mah power bank;20000 mah power bank;fast charging power bank;solar power bank;wireless power bank;slim power bank;mini power bank;usb power bank;type c power bank;power pack;portable battery;backup battery bank;charging bank;phone power bank;laptop power bank;high capacity power bank;pocket power bank;powr bank;pawer bank;powerbnk;power-bank;external battery;portable power;rechargeable power bank;dual usb power bank;quick charge power bank;18w power bank;22.5w power bank;compact power bank;travel power bank;emergency power bank;backup power bank;charger bank;battery charger bank;power storage bank;mah power bank;pd power bank;lithium power bank;polymer power bank;portable charging bank;mobile power bank;office power bank;gift power bank;branded power bank;power bank charger;handy power bank
Server / Rack,server rack data center,server;servers;rack server;tower server;blade server;rackmount server;server rack;network rack;data rack;9u rack;12u rack;15u rack;22u rack;42u rack;server cabinet;rack cabinet;networking rack;wall mount rack;floor standing rack;open rack;data center server;datacenter server;application server;database server;file server;web server;proxy server;edge server;storage server;sarver;servr;server machine;enterprise server;poweredge server;proliant server;server hardware;computing server;rack unit;server unit;rack enclosure;server enclosure;1u server;2u server;gpu server;virtualization server;backup server;mail server;domain server;server system;compute node;server node;high performance server;cloud server hardware;physical server
Biometric / Attendance Machine,biometric attendance access fingerprint,biometric;biometric machine;attendance machine;attendance system;fingerprint machine;fingerprint scanner;finger print device;time attendance machine;access control;access control system;face recognition machine;face attendance machine;biometric device;biometric attendance;punching machine attendance;rfid attendance;card attendance machine;biometric reader;fingerprint reader;biomatric;bio metric;biometrick;attendence machine;atendance machine;employee attendance machine;staff attendance machine;school attendance machine;iris scanner;palm scanner;door access control;access control machine;time recorder;time clock machine;punch card machine;swipe machine;entry machine;gate access control;biometric terminal;attendance terminal;fingerprint attendance;face detection machine;thumb machine;thumb impression machine;attendance recorder;biometric system;access reader;proximity card reader;security access system;attendance biometric;office attendance machine;clock in machine;workforce attendance machine
Toner / Cartridge,toner cartridge ink printer consumable,toner;toners;cartridge;cartridges;ink cartridge;toner cartridge;printer cartridge;printer ink;printer toner;ink;printing ink;compatible cartridge;original cartridge;refill cartridge;refill ink;ink bottle;ink tank;laser toner;inkjet cartridge;color cartridge;colour cartridge;black cartridge;toner powder;drum unit;imaging drum;cartrige;cartridg;toner catridge;catridge;ink catridge;printer consumable;printing consumable;hp cartridge;canon cartridge;epson ink;brother toner;toner refill;cartridge refill;photo ink;dye ink;pigment ink;sublimation ink;ribbon cartridge;printer ribbon;cyan cartridge;magenta cartridge;yellow cartridge;cmyk cartridge;compatible toner;genuine toner;remanufactured cartridge;bulk ink;continuous ink system;ciss;toner bottle;ink refill kit
Software / License,software license antivirus application,software;softwares;license;licence;software license;antivirus;anti virus;antivirus software;operating system;os license;windows license;office license;ms office;microsoft office;application software;system software;erp software;accounting software;tally software;cad software;design software;utility software;software subscription;cloud subscription;saas license;annual subscription;perpetual license;volume license;user license;software renewal;softwear;softwre;sofware;licence key;license key;product key;activation key;endpoint security;internet security;firewall software;backup software;database software;software package;enterprise software;software solution;productivity software;adobe license;autocad license;learning software;e learning software;lms software;software tool;software application;mobile app license;software amc;annual license
Voltage Stabilizer,voltage stabilizer servo power,stabilizer;stabiliser;voltage stabilizer;voltage stabiliser;servo stabilizer;automatic voltage stabilizer;avr;ac stabilizer;fridge stabilizer;tv stabilizer;refrigerator stabilizer;mainline stabilizer;digital stabilizer;single phase stabilizer;three phase stabilizer;servo voltage stabilizer;power stabilizer;voltage regulator;automatic voltage regulator;stabilizer 4 kva;stabilizer 5 kva;high voltage stabilizer;low voltage stabilizer;stabalizer;stabilzer;stebilizer;stablizer;voltage controller;voltage protector;power conditioner;line conditioner;wall mount stabilizer;microcontroller stabilizer;static stabilizer;relay stabilizer;voltage stabilizer for ac;voltage stabilizer for fridge;mains stabilizer;industrial stabilizer;commercial stabilizer;domestic stabilizer;home stabilizer;office stabilizer;5kva stabilizer;10kva stabilizer;isolation transformer stabilizer;constant voltage transformer;cvt stabilizer;electronic stabilizer;stabilizer machine;power supply stabilizer;voltage stabilization
Extension Board / Power Strip,extension board power strip socket,extension board;extension cord;power strip;spike guard;extension box;power extension;multi plug;multiplug;power board;extension socket;surge protector;extension wire board;3 pin extension;6 socket extension;usb extension board;office extension board;computer extension board;extension lead;power cord extension;extention board;extesion board;estension board;power extension board;electrical extension;socket board;plug board;multi socket;multi socket board;extension plug;spike buster;spikeguard;surge protector strip;power distribution board;portable power strip;wall extension board;heavy duty extension board;industrial extension board;long extension cord;5 meter extension;10 meter extension;extension reel;cable reel;extension cable board;gang box;4 socket extension;8 socket extension;smart power strip;usb power strip;board extension;electric board extension;extension unit;power point extension;socket extension board
Almirah / Cupboard,almirah cupboard steel storage cabinet,almirah;almira;almrah;cupboard;cup board;steel almirah;steel cupboard;storage cabinet;storage almirah;wardrobe;godrej almirah;office almirah;book almirah;book case almirah;steel storage;metal almirah;metal cupboard;iron almirah;wooden almirah;wooden cupboard;clothes almirah;document almirah;record almirah;locker almirah;cabinet;cabinets;storage cupboard;office cupboard;almari;almaari;almirha;cupbord;cubboard;almirah steel;3 door almirah;2 door almirah;sliding door almirah;glass almirah;safe almirah;security almirah;kitchen cupboard;wall cupboard;cloth cupboard;storage wardrobe;file cupboard;record cupboard;medicine cupboard;instrument cupboard;lab almirah;chemical almirah;steel wardrobe;iron cupboard;powder coated almirah;almirah cabinet
Storage Rack / Shelving,rack shelf shelving storage slotted,rack;racks;storage rack;shelf;shelves;shelving;shelving unit;slotted angle rack;slotted rack;heavy duty rack;pallet rack;industrial rack;warehouse rack;book rack;library rack;file rack;record rack;display rack;storage shelf;steel rack;metal rack;mild steel rack;adjustable rack;multipurpose rack;storage shelving;rak;rack shelf;raks;shelfing;shelfs;shelvs;wall rack;corner rack;mobile rack;compactor rack;storage system rack;godown rack;stock rack;kitchen rack;utensil rack;shoe rack;cloth rack;garment rack;shelf rack;angle rack;boltless rack;long span rack;medium duty rack;light duty rack;rack system;storage unit rack;record storage rack;document rack;cd rack;sample rack;test tube rack
Filing Cabinet,filing cabinet drawer office storage,filing cabinet;file cabinet;filing cabinets;drawer cabinet;filing drawer;office filing cabinet;steel filing cabinet;metal filing cabinet;4 drawer cabinet;3 drawer cabinet;2 drawer cabinet;mobile pedestal;pedestal drawer;office drawer;document cabinet;record cabinet;storage drawer;filing unit;filing system;file storage cabinet;vertical filing cabinet;lateral filing cabinet;filling cabinet;fileing cabinet;filing cabnet;filing cupboard;drawer unit;office pedestal;under desk drawer;lockable cabinet;lockable drawer;card index cabinet;index cabinet;papers cabinet;office storage cabinet;steel drawer cabinet;metal drawer unit;filing storage;cabinet drawer;multi drawer cabinet;tool drawer cabinet;file keeping cabinet;record keeping cabinet;confidential file cabinet;fireproof filing cabinet;steel record cabinet;office record cabinet;document storage cabinet;drawer chest;chest of drawers;office chest;filing chest
Water Heater / Geyser,geyser water heater electric,geyser;geysers;water heater;electric water heater;instant geyser;storage geyser;instant water heater;storage water heater;gas geyser;gas water heater;solar water heater;immersion rod;immersion heater;water heating rod;geezer;gyser;geyzer;gizer;gyzer;10 litre geyser;15 litre geyser;25 litre geyser;6 litre geyser;bathroom geyser;kitchen geyser;instant heater;electric geyser;water warmer;heating rod;rod heater;hot water geyser;geyser water heater;water boiler;domestic water heater;commercial water heater;3 litre geyser;vertical geyser;horizontal geyser;5 star geyser;energy efficient geyser;digital geyser;smart geyser;geyser electric;heater geyser;bath geyser;wall mounted geyser;tankless water heater;on demand water heater;geyser tank;shower geyser;hostel geyser;hospital water heater
Electric Iron / Press,iron press garment steam,iron;electric iron;press;cloth iron;clothes iron;steam iron;dry iron;garment iron;istri;isteri;istry;press machine;ironing machine;steam press;cloth press;garment press;commercial iron;heavy iron;industrial iron;laundry iron;electric press;steam iron box;iron box;ironbox;iron machine;cordless iron;travel iron;mini iron;hand iron;presswala iron;iron for clothes;kapda press;kapde ki istri;steam garment iron;dry press;ironing press;vertical steam iron;handheld steamer;garment steamer;cloth steamer;fabric steamer;iron non stick;teflon iron;auto shut iron;temperature control iron;spray iron;self cleaning iron;iron appliance;electric istri;steam istri;1000 watt iron;1200 watt iron;1600 watt iron;iron press machine
Water Pump / Motor,pump motor water submersible,pump;pumps;water pump;motor;motors;water motor;submersible pump;monoblock pump;centrifugal pump;borewell pump;openwell pump;self priming pump;pressure pump;booster pump;sewage pump;sludge pump;dewatering pump;mud pump;slurry pump;hand pump;solar pump;solar water pump;agricultural pump;irrigation pump;domestic pump;0.5 hp pump;1 hp pump;2 hp pump;5 hp pump;water lifting pump;pump set;motor pump;pumb;pmp;pump motor;electric motor pump;single phase pump;three phase pump;jet pump;vacuum pump;chemical pump;diaphragm pump;gear pump;screw pump;fire fighting pump;circulation pump;coolant pump;oil pump;fountain pump;aquarium pump;sump pump;flood pump;trash pump;high pressure pump
Room Heater,room heater blower warmer winter,room heater;heater;heaters;electric heater;fan heater;blower heater;halogen heater;quartz heater;oil filled heater;oil heater;convection heater;infrared heater;carbon heater;ptc heater;portable heater;space heater;winter heater;indoor heater;bathroom heater;table heater;wall heater;tower heater;radiant heater;heater blower;hitar;heatar;room hitter;electric room heater;1000 watt heater;2000 watt heater;energy saving heater;safe heater;child safe heater;office heater;home heater;warmer;heating appliance;heat convector;convector heater;hot air blower;heat blower;cabin heater;under table heater;personal heater;mini heater;compact heater;silent heater;adjustable heater;thermostat heater;electric warmer;small heater;big heater;heater machine
Air Cooler (Desert Cooler),air cooler desert evaporative cooling,air cooler;cooler;coolers;desert cooler;personal cooler;tower cooler;window cooler;room cooler;evaporative cooler;water cooler air;portable cooler;industrial cooler;commercial cooler;honeycomb cooler;big cooler;small cooler;mini cooler;electric cooler;cooler machine;cooling cooler;coler;kooler;kular;air kooler;50 litre cooler;70 litre cooler;desert air cooler;plastic cooler;metal cooler;cooler with remote;remote cooler;inverter cooler;cooler fan;hawa cooler;thanda cooler;desert type cooler;office cooler;home cooler;hall cooler;outdoor cooler;cooler unit;evaporative air cooler;swamp cooler;pad cooler;cooler pad;high speed cooler;heavy duty cooler;godown cooler;shed cooler;factory cooler;cooler appliance;summer cooler;air cooling machine;portable air cooler
Microwave Oven,microwave oven otg baking,microwave;microwave oven;oven;ovens;otg;otg oven;convection oven;grill microwave;solo microwave;convection microwave;baking oven;electric oven;toaster oven;microwave grill;20 litre microwave;25 litre microwave;30 litre microwave;commercial microwave;industrial oven;bakery oven;pizza oven;tandoor oven;microwave machine;maikrowave;micro wave;microve;micrwave;mikrowave;oven microwave;kitchen oven;cooking oven;heating oven;reheat microwave;digital microwave;smart oven;combi oven;deck oven;rotary oven;hot air oven;laboratory oven;drying oven;curing oven;muffle furnace;baking machine;roti maker oven;microwave with grill;inverter microwave;auto cook microwave;steam oven;built in oven;counter top oven;otg microwave;oven toaster grill
Mixer Grinder,mixer grinder blender kitchen,mixer;mixers;grinder;grinders;mixer grinder;mixie;mixi;juicer mixer grinder;jmg;wet grinder;dry grinder;blender;hand blender;food processor;spice grinder;masala grinder;coffee grinder;flour mill;atta chakki;atta maker;grinding machine;mixer machine;kitchen grinder;commercial mixer grinder;industrial grinder;mixergrinder;mixer grindr;mixxer;grinder mixer;electric grinder;electric mixer;750 watt mixer;500 watt mixer;1000 watt mixer;3 jar mixer;4 jar mixer;2 jar mixer;stainless steel jar mixer;juicer;juicer machine;cold press juicer;chutney grinder;table top grinder;tilting wet grinder;idli grinder;dosa batter grinder;commercial blender;smoothie blender;food blender;hand mixer;stand mixer;dough mixer;kitchen appliance mixer;vegetable chopper;electric chopper
Water Dispenser,water dispenser cooler hot cold,water dispenser;dispenser;dispensers;water cooler;hot cold dispenser;hot and cold water dispenser;bottled water dispenser;table top dispenser;floor standing dispenser;office water dispenser;water cooler dispenser;normal water dispenser;cold water dispenser;hot water dispenser;20 litre dispenser;water dispensing machine;drinking water dispenser;wall mounted water cooler;water cooler machine;peyjal cooler;pani cooler;watr dispenser;watter dispenser;dispencer;dispensor;commercial water cooler;stainless steel water cooler;ss water cooler;40 litre water cooler;80 litre water cooler;storage water cooler;pressure water cooler;water cooler with ro;ro water cooler;school water cooler;office water cooler;public water cooler;chilled water dispenser;instant water dispenser;counter water dispenser;bottle loading dispenser;top load dispenser;bottom load dispenser;water station;drinking water station;hydration station;water fountain;cooling water dispenser;warm water dispenser;beverage dispenser
Whiteboard / Notice Board,whiteboard notice board display,whiteboard;white board;notice board;noticeboard;display board;bulletin board;pin board;pinup board;soft board;cork board;green board;black board;chalk board;magnetic whiteboard;magnetic board;writing board;ceramic whiteboard;glass board;glass writing board;flip chart board;flipchart stand;display panel board;wite board;whitebord;notis board;notice bord;board white;office notice board;school notice board;classroom board;teaching board;presentation board;wheeled whiteboard;mobile whiteboard;portable whiteboard;wall mounted whiteboard;felt notice board;fabric notice board;resin coated whiteboard;melamine whiteboard;digital board;smart board;interactive whiteboard;display board with stand;double sided whiteboard;combination board;message board;memo board;planning board;information board;sign board display;roll up board;menu board
Paper Shredder,shredder paper document destroy,shredder;shredders;paper shredder;document shredder;office shredder;cross cut shredder;strip cut shredder;micro cut shredder;heavy duty shredder;commercial shredder;industrial shredder;personal shredder;auto feed shredder;cd shredder;credit card shredder;paper destroyer;shredding machine;document destroyer;sredder;shreder;paper shreder;confidential shredder;high capacity shredder;small shredder;desk side shredder;under desk shredder;large shredder;big shredder;10 sheet shredder;20 sheet shredder;continuous shredder;quiet shredder;security shredder;level p4 shredder;level p5 shredder;office paper shredder;bank shredder;record shredder;file shredder;waste paper shredder;shredder machine;electric shredder;automatic shredder;manual shredder;paper cutting shredder;data destruction shredder;confidential document shredder;shredding device;paper waste shredder;shredder for office
Calculator,calculator counting office,calculator;calculators;electronic calculator;scientific calculator;basic calculator;financial calculator;office calculator;desktop calculator;handheld calculator;pocket calculator;printing calculator;check calculator;gst calculator;12 digit calculator;14 digit calculator;solar calculator;battery calculator;big display calculator;large calculator;mini calculator;calcuator;calculater;calqulator;kalkulator;calculatr;counting machine;note counting machine;cash counting machine;currency counter;money counting machine;coin counter;graphing calculator;student calculator;school calculator;exam calculator;engineering calculator;accounting calculator;billing calculator;shop calculator;commercial calculator;heavy duty calculator;check and correct calculator;tax calculator;profit calculator;adding machine;desk calculator;table calculator;digital calculator;portable calculator;casio calculator;cost calculator;calculation machine
Sofa / Lounge Seating,sofa couch lounge seating furniture,sofa;sofas;couch;sofa set;settee;sofaset;lounge sofa;office sofa;reception sofa;waiting sofa;3 seater sofa;2 seater sofa;1 seater sofa;single seater sofa;l shaped sofa;corner sofa;sectional sofa;recliner sofa;leather sofa;fabric sofa;leatherette sofa;wooden sofa;sofa chair;lounge chair;lounge seating;sofa couch;diwan;divan;sofa cum bed;sofa bed;pull out sofa;loveseat;love seat;chesterfield sofa;modular sofa;puffy sofa;pouffe;ottoman;bean bag sofa;sofa furniture;sofaa;soffa;couche;cauch;office lounge sofa;visitor sofa;hotel sofa;lobby sofa;cushioned sofa;foam sofa;spring sofa;designer sofa;premium sofa;sofa unit;seating sofa;guest sofa;waiting lounge sofa;reception seating sofa
Hospital Bed / Cot,hospital bed cot patient furniture,hospital bed;patient bed;hospital cot;cot;bed;beds;icu bed;electric hospital bed;manual hospital bed;semi fowler bed;fowler bed;two function bed;three function bed;five function bed;adjustable bed;examination bed;patient cot;medical bed;hospital furniture bed;hosptial bed;hospetal bed;patient bad;hospital bedd;ward bed;general ward bed;delivery bed;labour bed;gynae bed;obstetric bed;pediatric bed;children bed;baby cot;baby bed;bassinet;crib;attendant bed;recovery bed;stretcher bed;trolley bed;bariatric bed;motorized hospital bed;remote control bed;ss hospital bed;stainless steel bed;mild steel hospital bed;hospital bed with mattress;abs panel bed;fowler position bed;backrest bed;collapsible bed;folding bed;iron cot;steel cot;wooden cot;single bed;hostel bed
Wheelchair,wheelchair patient mobility,wheelchair;wheel chair;wheelchairs;manual wheelchair;electric wheelchair;motorized wheelchair;folding wheelchair;commode wheelchair;reclining wheelchair;pediatric wheelchair;patient wheelchair;hospital wheelchair;invalid wheelchair;disabled wheelchair;handicap wheelchair;power wheelchair;lightweight wheelchair;aluminium wheelchair;steel wheelchair;wheel chair patient;wheelchiar;whelchair;wheel char;wheel-chair;mobility chair;mobility aid;rolling chair patient;transport wheelchair;self propel wheelchair;attendant wheelchair;wheelchair with commode;cerebral palsy wheelchair;cp chair;sports wheelchair;bariatric wheelchair;high back wheelchair;elevating wheelchair;detachable wheelchair;wheelchair mobility;patient mobility chair;hospital mobility chair;medical wheelchair;wheelchair foldable;wheelchair aluminium;elderly wheelchair;senior citizen wheelchair;patient carrier chair;chair with wheels;moving chair patient;wheelchair device;patient transfer chair
Stretcher / Trolley,stretcher trolley patient hospital,stretcher;stretchers;patient stretcher;hospital stretcher;trolley;patient trolley;emergency stretcher;ambulance stretcher;foldable stretcher;scoop stretcher;spine board;spinal board;transfer trolley;patient transfer trolley;stretcher trolley;wheeled stretcher;hydraulic stretcher;emergency trolley;crash cart;medicine trolley;instrument trolley;dressing trolley;streacher;stracher;strecher;stretcher bed;casualty stretcher;collapsible stretcher;basket stretcher;rescue stretcher;folding stretcher;canvas stretcher;aluminium stretcher;ss stretcher trolley;recovery trolley;mortuary trolley;body carrier;patient shifting trolley;shifting stretcher;gurney;hospital gurney;examination trolley;procedure trolley;medical trolley;utility trolley hospital;food trolley hospital;linen trolley;hospital cart;wheeled trolley;transport stretcher;adjustable stretcher;height adjustable trolley;patient bed trolley
Oxygen Concentrator / Cylinder,oxygen concentrator cylinder medical,oxygen concentrator;oxygen cylinder;oxygen;medical oxygen;o2 concentrator;o2 cylinder;portable oxygen concentrator;home oxygen concentrator;5 litre concentrator;10 litre concentrator;oxygen machine;oxygen generator;oxygen plant;psa oxygen plant;oxygen supply;oxygen tank;medical oxygen cylinder;b type cylinder;d type cylinder;oxygen gas cylinder;oxygen flow meter;oxygen regulator;oksijan concentrator;oxigen concentrator;oxygyn cylinder;oxegen cylinder;oxygen cocentrator;respiratory concentrator;breathing machine;oxygen therapy machine;oxygen supply unit;oxygen delivery system;oxygen humidifier;oxygen mask cylinder;portable oxygen;oxygen can;oxygen bottle;aluminium oxygen cylinder;steel oxygen cylinder;refillable oxygen cylinder;oxygen concentrator machine;clinical oxygen;hospital oxygen plant;medical gas cylinder;oxygen generation plant;oxygen filling plant;oxygen booster;oxygen storage tank;liquid oxygen;oxygen supply system;oxygen concentrator device
BP Monitor / Sphygmomanometer,bp monitor blood pressure sphygmomanometer,bp monitor;bp machine;blood pressure monitor;blood pressure machine;sphygmomanometer;digital bp monitor;automatic bp monitor;manual bp machine;aneroid bp machine;mercury bp machine;wrist bp monitor;arm bp monitor;bp apparatus;bp instrument;bp checking machine;bp measuring machine;b.p. monitor;bp moniter;bp mashine;blood presure monitor;sphygmomanometr;spygmomanometer;bp meter;digital blood pressure monitor;upper arm bp monitor;home bp monitor;clinical bp monitor;portable bp monitor;bp cuff;pressure cuff;bp reader;hypertension monitor;blood pressure meter;automatic blood pressure machine;electronic bp monitor;bp measurement device;bp gauge;aneroid sphygmomanometer;mercurial sphygmomanometer;desk bp machine;wall bp machine;stand bp machine;bp monitoring device;bp checker;blood pressure checker;bp testing machine;bp diagnostic machine;medical bp monitor;hospital bp machine;bp monitor digital;pressure monitor blood;bpm machine
Stethoscope,stethoscope medical diagnostic,stethoscope;stethoscopes;medical stethoscope;cardiology stethoscope;dual head stethoscope;single head stethoscope;pediatric stethoscope;digital stethoscope;electronic stethoscope;acoustic stethoscope;doctor stethoscope;nurse stethoscope;student stethoscope;littmann stethoscope;stethescope;stethascope;stetoscope;stethscope;stethoscop;stethoscope medical;cardiac stethoscope;cardiology grade stethoscope;professional stethoscope;classic stethoscope;lightweight stethoscope;veterinary stethoscope;fetal stethoscope;fetoscope;neonatal stethoscope;infant stethoscope;adult stethoscope;teaching stethoscope;double sided stethoscope;chest piece stethoscope;diaphragm stethoscope;bell stethoscope;tunable stethoscope;stethoscope diagnostic;auscultation device;heart sound device;medical diagnostic stethoscope;clinical stethoscope;hospital stethoscope;premium stethoscope;steel stethoscope;aluminium stethoscope;stainless steel stethoscope;stethoscope instrument;listening device medical;chestpiece;stethoscope set
Weighing Scale,weighing scale balance measurement,weighing scale;weighing machine;scale;weight machine;weight scale;digital weighing scale;electronic weighing scale;platform scale;table top scale;counter scale;bench scale;floor scale;crane scale;hanging scale;spring balance;weighing balance;analytical balance;precision balance;lab balance;kitchen scale;personal scale;bathroom scale;body weighing scale;baby weighing scale;infant scale;weighing mashine;weighing machin;weighting scale;wieghing scale;tolne wali machine;wajan machine;wajan tolne wali machine;platform weighing scale;heavy weighing scale;industrial weighing scale;commercial weighing scale;shop weighing scale;jewellery scale;gold weighing scale;milk weighing scale;grain weighing scale;livestock weighing scale;cattle weighing scale;truck weighing scale;weighbridge;postal scale;parcel scale;load cell scale;digital balance;electronic balance;measuring scale;weight measurement machine
Microscope,microscope laboratory optical scientific,microscope;microscopes;compound microscope;binocular microscope;trinocular microscope;monocular microscope;stereo microscope;digital microscope;student microscope;biological microscope;medical microscope;pathology microscope;research microscope;metallurgical microscope;polarizing microscope;fluorescence microscope;inverted microscope;usb microscope;electron microscope;microscop;microscpe;micoscope;mycroscope;microskope;laboratory microscope;lab microscope;clinical microscope;school microscope;college microscope;led microscope;halogen microscope;optical microscope;light microscope;phase contrast microscope;dark field microscope;dissecting microscope;portable microscope;field microscope;microscope with camera;camera microscope;high power microscope;10x microscope;40x microscope;100x microscope;microscope slide;microscope objective;microscope eyepiece;advanced microscope;professional microscope;teaching microscope;microscopy instrument;scientific microscope;magnifying microscope
Autoclave / Sterilizer,autoclave sterilizer medical instrument,autoclave;autoclaves;sterilizer;steriliser;steam sterilizer;instrument sterilizer;medical autoclave;laboratory autoclave;lab autoclave;vertical autoclave;horizontal autoclave;portable autoclave;table top autoclave;dental autoclave;surgical autoclave;pressure sterilizer;high pressure sterilizer;hot air sterilizer;dry heat sterilizer;uv sterilizer;boiling sterilizer;autoclav;autoclaive;otoclave;sterlizer;sterilizor;instrument sterlizer;class b autoclave;class n autoclave;front loading autoclave;double door autoclave;flash autoclave;rapid sterilizer;bench top sterilizer;cssd autoclave;hospital sterilizer;clinic sterilizer;sterilization machine;sterilizing machine;disinfection machine;surgical instrument sterilizer;needle sterilizer;syringe sterilizer;glassware sterilizer;media sterilizer;sterilizer autoclave;steam autoclave;electric sterilizer;digital autoclave;automatic autoclave;sterilizer machine;medical steam sterilizer;laboratory sterilizer;sterilizer equipment;autoclave machine
Nebulizer,nebulizer respiratory medical inhalation,nebulizer;nebuliser;nebulizers;nebulizer machine;compressor nebulizer;piston nebulizer;ultrasonic nebulizer;mesh nebulizer;portable nebulizer;handheld nebulizer;pediatric nebulizer;adult nebulizer;home nebulizer;hospital nebulizer;medical nebulizer;respiratory nebulizer;asthma nebulizer;nebuliser machine;nebulizr;nebalizer;nabulizer;nubulizer;nebulaizer;breathing machine nebulizer;inhalation machine;aerosol machine;steam nebulizer;nebulizer kit;nebulizer mask;nebulizer with mask;nebulizer chamber;child nebulizer;baby nebulizer;travel nebulizer;mini nebulizer;rechargeable nebulizer;battery nebulizer;silent nebulizer;compact nebulizer;nebulization machine;medicine nebulizer;respiratory therapy machine;asthma machine;cough machine nebulizer;aerosol therapy device;nebulizer device;nebulizer respiratory;electric nebulizer;hospital nebulizer machine;clinic nebulizer;medical inhaler machine;nebulizer equipment;nebulizer unit;portable nebulizer machine
ECG Machine,ecg machine cardiac diagnostic,ecg machine;ecg;e.c.g.;electrocardiograph;ecg monitor;ekg machine;3 channel ecg;6 channel ecg;12 channel ecg;single channel ecg;portable ecg machine;digital ecg machine;ecg recorder;cardiac monitor;ecg equipment;ecg instrument;ecg system;e c g machine;ecg machin;ecg mashine;ekg monitor;electro cardiograph;electrocardiogram machine;heart machine;cardiogram machine;cardiac diagnostic machine;ecg device;holter monitor;stress test machine;tmt machine;treadmill test machine;ecg with printer;ecg trolley;ecg cart;bedside ecg;hospital ecg machine;clinic ecg machine;cardiology ecg;resting ecg;ambulatory ecg;wireless ecg;bluetooth ecg;ecg patient monitor;multi para monitor;vital signs monitor;patient monitoring system;cardiac care monitor;ecg leads machine;ecg electrodes machine;diagnostic ecg;ecg unit;heart monitoring machine
Examination Table / Couch,examination table couch medical,examination table;examination couch;exam table;medical examination table;patient examination table;doctor table;clinic table;examination bed;gynae examination table;gynecological table;obstetric table;delivery table;operation table;ot table;surgical table;operating table;procedure table;dressing table medical;massage table;physiotherapy table;traction table;examnation table;examination tabl;medical exam couch;exam couch;examination table medical;steel examination table;ss examination table;3 fold examination table;adjustable examination table;hydraulic examination table;motorized examination table;electric examination table;padded examination table;cushioned examination table;leatherette examination table;hospital examination table;clinical couch;examination furniture;patient couch;medical couch;consultation table;diagnostic table;recovery couch;treatment table;eye examination table;dental examination table;pediatric examination table;examination platform;exam furniture;examination table with drawer
First Aid Kit,first aid kit medical emergency,first aid kit;first aid box;firstaid kit;first aid;medical kit;emergency kit;first aid bag;first aid pouch;workplace first aid kit;office first aid kit;industrial first aid kit;vehicle first aid kit;car first aid kit;travel first aid kit;home first aid kit;school first aid kit;first aid cabinet;first aid wall box;medical emergency kit;trauma kit;firs aid kit;frist aid kit;first-aid kit;first aid medical box;prathmik chikitsa box;prathmik upchar kit;emergency medical kit;burn kit;wound care kit;safety first aid kit;compact first aid kit;portable first aid kit;waterproof first aid kit;green cross first aid box;factory first aid kit;site first aid kit;bus first aid kit;first aid supplies;medical supplies kit;bandage kit;dressing kit;first aid equipment;emergency response kit;disaster kit;survival first aid kit;first responder kit;first aid refill;first aid container;medical first aid box;aid kit;first aid essentials
